amt,fiitax_se,tfica_se,totfedtax_se,fiitax_wage,tfica_wage,totfedtax_wage
36700,1739.1899,5185.54,6924.73,2536.5,2807.55,5344.0498
36800,1748.12,5199.6699,6947.79,2548.5,2815.2,5363.7002
36900,1757.04,5213.7998,6970.8398,2560.5,2822.8501,5383.3501
37000,1765.96,5227.9302,6993.8901,2572.5,2830.5,5403
37100,1774.88,5242.0601,7016.9399,2584.5,2838.1499,5422.6499
37200,1783.8,5256.1899,7039.9902,2596.5,2845.8,5442.2998
37300,1792.72,5270.3198,7063.04,2608.5,2853.45,5461.9502
37400,1801.65,5284.4502,7086.1001,2620.5,2861.1001,5481.6001
37500,1810.5699,5298.5801,7109.1499,2632.5,2868.75,5501.25
37600,1819.49,5312.71,7132.2002,2644.5,2876.3999,5520.8999
37700,1828.41,5326.8398,7155.25,2656.5,2884.05,5540.5498
37800,1837.33,5340.9702,7178.3003,2668.5,2891.7,5560.2002
37900,1846.26,5355.1001,7201.3604,2680.5,2899.3501,5579.8501
38000,1855.1801,5369.23,7224.4102,2692.5,2907,5599.5
38100,1864.1,5383.3599,7247.46,2704.5,2914.6499,5619.1499
38200,1873.02,5397.4902,7270.5103,2716.5,2922.3,5638.7998
38300,1881.9399,5411.6201,7293.5601,2728.5,2929.95,5658.4502
38400,1890.86,5425.75,7316.6099,2740.5,2937.6001,5678.1001
38500,1899.79,5439.8799,7339.6699,2752.5,2945.25,5697.75
38600,1908.71,5454.0098,7362.7197,2764.5,2952.8999,5717.3999
38700,1917.63,5468.1401,7385.77,2776.5,2960.55,5737.0498
38800,1926.55,5482.27,7408.8203,2788.5,2968.2,5756.7002
38900,1935.47,5496.3901,7431.8604,2800.5,2975.8501,5776.3501
39000,1944.39,5510.52,7454.9102,2812.5,2983.5,5796
39100,1953.3199,5524.6499,7477.9697,2824.5,2991.1499,5815.6499
39200,1962.24,5538.7798,7501.0195,2836.5,2998.8,5835.2998
39300,1971.16,5552.9102,7524.0703,2848.5,3006.45,5854.9502
39400,1980.08,5567.04,7547.1201,2860.5,3014.1001,5874.6001
39500,1989,5581.1699,7570.1699,2872.5,3021.75,5894.25
39600,1997.9301,5595.2998,7593.23,2884.5,3029.3999,5913.8999
39700,2006.85,5609.4302,7616.2803,2896.5,3037.05,5933.5498
39800,2015.77,5623.5601,7639.3301,2908.5,3044.7,5953.2002
39900,2024.6899,5637.6899,7662.3799,2920.5,3052.3501,5972.8501
40000,2033.61,5651.8198,7685.4297,2932.5,3060,5992.5
40100,2042.53,5665.9502,7708.4805,2944.5,3067.6499,6012.1499
40200,2051.46,5680.0801,7731.54,2956.5,3075.3,6031.7998
40300,2060.3799,5694.21,7754.5898,2968.5,3082.95,6051.4502
40400,2069.3,5708.3398,7777.6396,2980.5,3090.6001,6071.1001
40500,2078.22,5722.4702,7800.6904,2992.5,3098.25,6090.75
40600,2087.1399,5736.6001,7823.7402,3004.5,3105.8999,6110.3999
40700,2096.0701,5750.73,7846.7998,3016.5,3113.55,6130.0498
40800,2104.99,5764.8599,7869.8496,3028.5,3121.2,6149.7002
40900,2113.9099,5778.9902,7892.9004,3040.5,3128.8501,6169.3501
41000,2122.8301,5793.1201,7915.9502,3052.5,3136.5,6189
41100,2131.75,5807.2402,7938.9902,3064.5,3144.1499,6208.6499
41200,2140.6699,5821.3701,7962.04,3076.5,3151.8,6228.2998
